category,cause,fix_applied,meeting,filename,path,chars_before,chars_after,recovered,outcome
A1 never parsed,no .doc extractor,textutil -convert txt,2020-09-15_Regular Meeting of the Board of Education 7_00 PM,M081820BdMtg.doc,2020-09-15_Regular Meeting of the Board of Education 7_00 PM/M081820BdMtg.doc,0,4415,4415,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2020-09-15_Regular Meeting of the Board of Education 7_00 PM,M081220BdMtg.doc,2020-09-15_Regular Meeting of the Board of Education 7_00 PM/M081220BdMtg.doc,0,4347,4347,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-07-20_Regular Meeting of the Board of Education 9_30 AM,MHSAA Super Memo Final.doc,2021-07-20_Regular Meeting of the Board of Education 9_30 AM/MHSAA Super Memo Final.doc,0,4324,4324,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-07-26_Regular Meeting of the Board of Education 9_00 AM,MHSAASuper Memo.doc,2022-07-26_Regular Meeting of the Board of Education 9_00 AM/MHSAASuper Memo.doc,0,4312,4312,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-09-19_Regular Meeting of the Board of Education 7_00 PM,6 B  ELEM-SEC hire list for Board 9.19.23.doc,2023-09-19_Regular Meeting of the Board of Education 7_00 PM/6 B  ELEM-SEC hire list for Board 9.19.23.doc,0,4282,4282,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-12-06_Board of Education Workshop 6_00 PM,2.b. Troy - Resolution re Section 1 - Sale of Preserved Parcel to Six Rivers_Okland County Parks(269261131.1).doc,2022-12-06_Board of Education Workshop 6_00 PM/2.b. Troy - Resolution re Section 1 - Sale of Preserved Parcel to Six Rivers_Okland County Parks(269261131.1).doc,0,4110,4110,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2020-10-20_Regular Meeting of the Board of Education 7_00 PM,M092920SpBdMtg.doc,2020-10-20_Regular Meeting of the Board of Education 7_00 PM/M092920SpBdMtg.doc,0,4098,4098,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-12-13_Regular Meeting of the Board of Education 7_00 PM,8.B. Troy - Resolution Section 1 Sale of Preserved Parcel to Six Rivers_Okland County Parks.doc,2022-12-13_Regular Meeting of the Board of Education 7_00 PM/8.B. Troy - Resolution Section 1 Sale of Preserved Parcel to Six Rivers_Okland County Parks.doc,0,4046,4046,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-06-15_Regular Meeting of the Board of Education 7_00 PM,Board Agenda 20-21 Retirees.doc,2021-06-15_Regular Meeting of the Board of Education 7_00 PM/Board Agenda 20-21 Retirees.doc,0,3962,3962,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-05-17_Regular Meeting of the Board of Education 7_00 PM,10A OaklandSchoolsBoard Election 2022.doc,2022-05-17_Regular Meeting of the Board of Education 7_00 PM/10A OaklandSchoolsBoard Election 2022.doc,0,3465,3465,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-09-21_Regular Meeting of the Board of Education 7_00 PM,2A RecogStudentReps.doc,2021-09-21_Regular Meeting of the Board of Education 7_00 PM/2A RecogStudentReps.doc,0,3460,3460,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2024-05-21_Regular Meeting of the Board of Education 7_00 PM,10A OaklandSchoolsBoard Election 2024.doc,2024-05-21_Regular Meeting of the Board of Education 7_00 PM/10A OaklandSchoolsBoard Election 2024.doc,0,3340,3340,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2025-09-16_Regular Meeting of the Board of Education 7_00 PM,M081925BdMtg.doc,2025-09-16_Regular Meeting of the Board of Education 7_00 PM/M081925BdMtg.doc,0,3203,3203,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-07-20_Regular Meeting of the Board of Education 9_30 AM,6A ADMIN CONTRACTS EXTENSION.doc,2021-07-20_Regular Meeting of the Board of Education 9_30 AM/6A ADMIN CONTRACTS EXTENSION.doc,0,3155,3155,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-09-20_Regular Meeting of the Board of Education 7_00 PM,6 B  ELEM-SEC hire list for Board 9.20.22.doc,2022-09-20_Regular Meeting of the Board of Education 7_00 PM/6 B  ELEM-SEC hire list for Board 9.20.22.doc,0,3079,3079,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2025-09-16_Regular Meeting of the Board of Education 7_00 PM,6 B  ELEM-SEC hire list for Board 9.16.25.doc,2025-09-16_Regular Meeting of the Board of Education 7_00 PM/6 B  ELEM-SEC hire list for Board 9.16.25.doc,0,3015,3015,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-07-26_Regular Meeting of the Board of Education 9_00 AM,6C ADMIN CONTRACTS EXTENSION.doc,2022-07-26_Regular Meeting of the Board of Education 9_00 AM/6C ADMIN CONTRACTS EXTENSION.doc,0,2917,2917,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2024-09-17_Regular Meeting of the Board of Education 7_00 PM,6B  ELEM-SEC hire list for Board 9.17.24.doc,2024-09-17_Regular Meeting of the Board of Education 7_00 PM/6B  ELEM-SEC hire list for Board 9.17.24.doc,0,2471,2471,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2020-09-15_Regular Meeting of the Board of Education 7_00 PM,2B RecogStudentReps.doc,2020-09-15_Regular Meeting of the Board of Education 7_00 PM/2B RecogStudentReps.doc,0,2469,2469,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2024-05-21_Regular Meeting of the Board of Education 7_00 PM,2B Board Agenda 23-24  Retirees.doc,2024-05-21_Regular Meeting of the Board of Education 7_00 PM/2B Board Agenda 23-24  Retirees.doc,0,2351,2351,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-05-16_Regular Meeting of the Board of Education 7_00 PM,2A Board Agenda 22-23 Retirees.doc,2023-05-16_Regular Meeting of the Board of Education 7_00 PM/2A Board Agenda 22-23 Retirees.doc,0,2313,2313,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-01-19_Organizational and Regular Meeting of the Board of Education 7_00 PM,M121820SpBdMtg.doc,2021-01-19_Organizational and Regular Meeting of the Board of Education 7_00 PM/M121820SpBdMtg.doc,0,2143,2143,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2019-01-01_2019 Board Packets and Minutes,W030519.doc,2019-01-01_2019 Board Packets and Minutes/W030519.doc,0,2016,2016,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2020-09-15_Regular Meeting of the Board of Education 7_00 PM,6 A   ELEM-SEC hire list for Board 9.15.20.doc,2020-09-15_Regular Meeting of the Board of Education 7_00 PM/6 A   ELEM-SEC hire list for Board 9.15.20.doc,0,1947,1947,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-04-18_Regular Meeting of the Board of Education 7_00 PM,"ADMIN APPT Director, Employee Services.doc","2023-04-18_Regular Meeting of the Board of Education 7_00 PM/ADMIN APPT Director, Employee Services.doc",0,1898,1898,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-07-26_Regular Meeting of the Board of Education 9_00 AM,6E Supt Contract Extension.doc,2022-07-26_Regular Meeting of the Board of Education 9_00 AM/6E Supt Contract Extension.doc,0,1880,1880,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2026-07-22_Regular Meeting of the Board of Education 1_00 PM,6D ADMIN APPT Finance Director - Anderson.doc,2026-07-22_Regular Meeting of the Board of Education 1_00 PM/6D ADMIN APPT Finance Director - Anderson.doc,0,1853,1853,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-05-17_Regular Meeting of the Board of Education 7_00 PM,2B TSD 21-22 Retirees.doc,2022-05-17_Regular Meeting of the Board of Education 7_00 PM/2B TSD 21-22 Retirees.doc,0,1818,1818,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2025-09-16_Regular Meeting of the Board of Education 7_00 PM,10E Acceptance of AARC Recommendation.doc,2025-09-16_Regular Meeting of the Board of Education 7_00 PM/10E Acceptance of AARC Recommendation.doc,0,1813,1813,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-07-18_Regular Meeting of the Board of Education 9_30 AM,6B Admin Appt Montante Communications.doc,2023-07-18_Regular Meeting of the Board of Education 9_30 AM/6B Admin Appt Montante Communications.doc,0,1746,1746,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-07-20_Regular Meeting of the Board of Education 9_30 AM,6C Supt Contract Extension.doc,2021-07-20_Regular Meeting of the Board of Education 9_30 AM/6C Supt Contract Extension.doc,0,1731,1731,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2020-10-20_Regular Meeting of the Board of Education 7_00 PM,M090120SpBdMtg.doc,2020-10-20_Regular Meeting of the Board of Education 7_00 PM/M090120SpBdMtg.doc,0,1696,1696,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-07-20_Regular Meeting of the Board of Education 9_30 AM,M061521SpBdMtg.doc,2021-07-20_Regular Meeting of the Board of Education 9_30 AM/M061521SpBdMtg.doc,0,1681,1681,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-09-21_Regular Meeting of the Board of Education 7_00 PM,6C ADMIN APPT  Assistant Principal IAE Griffin.doc,2021-09-21_Regular Meeting of the Board of Education 7_00 PM/6C ADMIN APPT  Assistant Principal IAE Griffin.doc,0,1678,1678,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2024-03-19_Regular Meeting of the Board of Education 7_00 PM,"6B ADMIN APPT Director Athletics, Continuing Education, Enrichment Jansen.doc","2024-03-19_Regular Meeting of the Board of Education 7_00 PM/6B ADMIN APPT Director Athletics, Continuing Education, Enrichment Jansen.doc",0,1675,1675,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2019-01-01_2019 Board Packets and Minutes,W032119retreat.doc,2019-01-01_2019 Board Packets and Minutes/W032119retreat.doc,0,1674,1674,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-08-15_Regular Meeting of the Board of Education 6_00 PM,6A ADMIN APPT Assistant Principal Troy High - Brennan.doc,2023-08-15_Regular Meeting of the Board of Education 6_00 PM/6A ADMIN APPT Assistant Principal Troy High - Brennan.doc,0,1673,1673,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2025-06-17_Regular Meeting of the Board of Education 7_00 PM,7B ADMIN APPT  Director Teaching & Learning Recker.doc,2025-06-17_Regular Meeting of the Board of Education 7_00 PM/7B ADMIN APPT  Director Teaching & Learning Recker.doc,0,1671,1671,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-06-13_Regular Meeting of the Board of Education 7_30 PM,7A ADMIN APPT SE Supervisor Crowe.doc,2023-06-13_Regular Meeting of the Board of Education 7_30 PM/7A ADMIN APPT SE Supervisor Crowe.doc,0,1657,1657,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-05-16_Regular Meeting of the Board of Education 7_00 PM,ADMIN APPT Special Education Director Young Sarah.doc,2023-05-16_Regular Meeting of the Board of Education 7_00 PM/ADMIN APPT Special Education Director Young Sarah.doc,0,1655,1655,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-05-18_Regular Meeting of the Board of Education 7_00 PM,M042021SpBdMtg.doc,2021-05-18_Regular Meeting of the Board of Education 7_00 PM/M042021SpBdMtg.doc,0,1645,1645,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-03-15_Regular Meeting of the Board of Education 7_00 PM,5D 1stRdg_Board Policies.doc,2022-03-15_Regular Meeting of the Board of Education 7_00 PM/5D 1stRdg_Board Policies.doc,0,1645,1645,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-04-19_Regular Meeting of the Board of Education 7_00 PM,5D 2ndRdgAdoption_Board Policies.doc,2022-04-19_Regular Meeting of the Board of Education 7_00 PM/5D 2ndRdgAdoption_Board Policies.doc,0,1629,1629,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-02-01_Board of Education Workshop 6_00 PM,2.B. NOVA RECOMltr22.doc,2022-02-01_Board of Education Workshop 6_00 PM/2.B. NOVA RECOMltr22.doc,0,1628,1628,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-02-15_Regular Meeting of the Board of Education 7_00 PM,8.B. NOVA RECOMltr22.doc,2022-02-15_Regular Meeting of the Board of Education 7_00 PM/8.B. NOVA RECOMltr22.doc,0,1628,1628,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-05-18_Regular Meeting of the Board of Education 7_00 PM,M040621BdWkshp.doc,2021-05-18_Regular Meeting of the Board of Education 7_00 PM/M040621BdWkshp.doc,0,1625,1625,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-07-18_Regular Meeting of the Board of Education 9_30 AM,6A Admin Appt Zawislak Larson.doc,2023-07-18_Regular Meeting of the Board of Education 9_30 AM/6A Admin Appt Zawislak Larson.doc,0,1622,1622,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-02-23_Regular Meeting of the Board of Education 7_00 PM,M011921SpBdMtg.doc,2021-02-23_Regular Meeting of the Board of Education 7_00 PM/M011921SpBdMtg.doc,0,1621,1621,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2020-12-15_Regular Meeting of the Board of Education 7_00 PM,6B ADMIN APPT Sup Educational Equity.doc,2020-12-15_Regular Meeting of the Board of Education 7_00 PM/6B ADMIN APPT Sup Educational Equity.doc,0,1620,1620,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-01-19_Organizational and Regular Meeting of the Board of Education 7_00 PM,0AgendaMemo 011921.doc,2021-01-19_Organizational and Regular Meeting of the Board of Education 7_00 PM/0AgendaMemo 011921.doc,0,1618,1618,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-01-18_Organizational and Regular Meeting of the Board of Education 7_00 PM,0AgendaMemo 011822.doc,2022-01-18_Organizational and Regular Meeting of the Board of Education 7_00 PM/0AgendaMemo 011822.doc,0,1618,1618,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-11-14_Special Meeting of the Board of Education 6_00 PM,4A First Reading Policies.DOC,2023-11-14_Special Meeting of the Board of Education 6_00 PM/4A First Reading Policies.DOC,0,1611,1611,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-04-18_Regular Meeting of the Board of Education 7_00 PM,ADMIN APPT Assistant Superintendent of Employee Services Pagel.doc,2023-04-18_Regular Meeting of the Board of Education 7_00 PM/ADMIN APPT Assistant Superintendent of Employee Services Pagel.doc,0,1603,1603,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-02-23_Regular Meeting of the Board of Education 7_00 PM,8.E. RECOMltr21.doc,2021-02-23_Regular Meeting of the Board of Education 7_00 PM/8.E. RECOMltr21.doc,0,1597,1597,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-04-18_Regular Meeting of the Board of Education 7_00 PM,ADMIN APPT Principal IA-East Griffin.doc,2023-04-18_Regular Meeting of the Board of Education 7_00 PM/ADMIN APPT Principal IA-East Griffin.doc,0,1594,1594,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-04-18_Regular Meeting of the Board of Education 7_00 PM,ADMIN APPT Assistant Principal IA-East Naus.doc,2023-04-18_Regular Meeting of the Board of Education 7_00 PM/ADMIN APPT Assistant Principal IA-East Naus.doc,0,1572,1572,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-09-21_Regular Meeting of the Board of Education 7_00 PM,5D Consent PublicEducationLeadersProfLearning.doc,2021-09-21_Regular Meeting of the Board of Education 7_00 PM/5D Consent PublicEducationLeadersProfLearning.doc,0,1551,1551,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2025-08-19_Regular Meeting of the Board of Education 6_00 PM,6A ADMIN APPT SE Supervisor Pulliam.doc,2025-08-19_Regular Meeting of the Board of Education 6_00 PM/6A ADMIN APPT SE Supervisor Pulliam.doc,0,1544,1544,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-10-19_Regular Meeting of the Board of Education 7_00 PM,M090721BdWkshp.doc,2021-10-19_Regular Meeting of the Board of Education 7_00 PM/M090721BdWkshp.doc,0,1521,1521,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2024-06-20_Regular Meeting of the Board of Education 7_00 PM,7A ADMIN APPT SE Supervisor Harker.doc,2024-06-20_Regular Meeting of the Board of Education 7_00 PM/7A ADMIN APPT SE Supervisor Harker.doc,0,1511,1511,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-12-12_Regular Meeting of the Board of Education 7_00 PM,5E SecondReadingAdoption Policies.doc,2023-12-12_Regular Meeting of the Board of Education 7_00 PM/5E SecondReadingAdoption Policies.doc,0,1507,1507,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-04-04_Board of Education Workshop 6_00 PM,W120721.doc,2023-04-04_Board of Education Workshop 6_00 PM/W120721.doc,0,1505,1505,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-07-26_Regular Meeting of the Board of Education 9_00 AM,M062122SpBdMtg.doc,2022-07-26_Regular Meeting of the Board of Education 9_00 AM/M062122SpBdMtg.doc,0,1498,1498,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2024-05-21_Regular Meeting of the Board of Education 7_00 PM,6B ADMIN APPT  AP Athens-Cronin.doc,2024-05-21_Regular Meeting of the Board of Education 7_00 PM/6B ADMIN APPT  AP Athens-Cronin.doc,0,1490,1490,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-06-06_Special Meeting of the Board of Education 5_00 PM,3A ADMIN APPT Principal Bemis - Singh.doc,2023-06-06_Special Meeting of the Board of Education 5_00 PM/3A ADMIN APPT Principal Bemis - Singh.doc,0,1488,1488,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2024-07-16_Regular Meeting of the Board of Education 9_30 AM,M061224SpBdMtg.doc,2024-07-16_Regular Meeting of the Board of Education 9_30 AM/M061224SpBdMtg.doc,0,1482,1482,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-03-15_Regular Meeting of the Board of Education 7_00 PM,M020122BdWkshp.doc,2022-03-15_Regular Meeting of the Board of Education 7_00 PM/M020122BdWkshp.doc,0,1472,1472,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2021-08-17_Regular Meeting of the Board of Education 7_00 PM,5D IA Schools of Choice 105C for 22-23 School Year.doc,2021-08-17_Regular Meeting of the Board of Education 7_00 PM/5D IA Schools of Choice 105C for 22-23 School Year.doc,0,1469,1469,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2022-08-16_Regular Meeting of the Board of Education 7_00 PM,5D IA Schools of Choice 105C for 23-24 School Year (002).doc,2022-08-16_Regular Meeting of the Board of Education 7_00 PM/5D IA Schools of Choice 105C for 23-24 School Year (002).doc,0,1469,1469,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-08-15_Regular Meeting of the Board of Education 6_00 PM,5D IA Schools of Choice 105C for 24-25 School Year.doc,2023-08-15_Regular Meeting of the Board of Education 6_00 PM/5D IA Schools of Choice 105C for 24-25 School Year.doc,0,1469,1469,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2024-08-20_Regular Meeting of the Board of Education 6_00 PM,5C IA Schools of Choice 105C for 25-26 School Year.doc,2024-08-20_Regular Meeting of the Board of Education 6_00 PM/5C IA Schools of Choice 105C for 25-26 School Year.doc,0,1469,1469,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2025-08-19_Regular Meeting of the Board of Education 6_00 PM,5C IA Schools of Choice 105C for 26-27 School Year.doc,2025-08-19_Regular Meeting of the Board of Education 6_00 PM/5C IA Schools of Choice 105C for 26-27 School Year.doc,0,1469,1469,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2020-08-18_Regular Meeting of the Board of Education 7_00 PM,5C IA Schools of Choice 105C for 21-22 School Year.doc,2020-08-18_Regular Meeting of the Board of Education 7_00 PM/5C IA Schools of Choice 105C for 21-22 School Year.doc,0,1468,1468,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2025-06-17_Regular Meeting of the Board of Education 7_00 PM,7C ADMIN APPT  Principal Hamilton McNally.doc,2025-06-17_Regular Meeting of the Board of Education 7_00 PM/7C ADMIN APPT  Principal Hamilton McNally.doc,0,1458,1458,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2024-08-20_Regular Meeting of the Board of Education 6_00 PM,6A ADMIN APPT AP Larson Palmeri.doc,2024-08-20_Regular Meeting of the Board of Education 6_00 PM/6A ADMIN APPT AP Larson Palmeri.doc,0,1456,1456,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2025-05-20_Regular Meeting of the Board of Education 7_00 PM,6B ADMIN APPT  Principal Hill - Burdette.doc,2025-05-20_Regular Meeting of the Board of Education 7_00 PM/6B ADMIN APPT  Principal Hill - Burdette.doc,0,1452,1452,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2025-05-20_Regular Meeting of the Board of Education 7_00 PM,6D ADMIN APPT SE Supervisor Evans.doc,2025-05-20_Regular Meeting of the Board of Education 7_00 PM/6D ADMIN APPT SE Supervisor Evans.doc,0,1446,1446,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2024-06-20_Regular Meeting of the Board of Education 7_00 PM,M050724SpBdMtg.doc,2024-06-20_Regular Meeting of the Board of Education 7_00 PM/M050724SpBdMtg.doc,0,1440,1440,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2024-09-17_Regular Meeting of the Board of Education 7_00 PM,M082024SpBdMtg.doc,2024-09-17_Regular Meeting of the Board of Education 7_00 PM/M082024SpBdMtg.doc,0,1437,1437,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2023-10-17_Regular Meeting of the Board of Education 7_00 PM,M090523SpBdMtg.doc,2023-10-17_Regular Meeting of the Board of Education 7_00 PM/M090523SpBdMtg.doc,0,1426,1426,recovered
A1 never parsed,no .doc extractor,textutil -convert txt,2024-04-16_Regular Meeting of the Board of Education 7_00 PM,M030524SpBdMtg.doc,2024-04-16_Regular Meeting of the Board of Education 7_00 PM/M030524SpBdMtg.doc,0,1422,1422,recovered
